dayinyear,date,Amazon,Apple,Tesla
1,04-Jan,3186.63,134.14,839.81
2,05-Jan,3218.51,127.79,718.43
3,06-Jan,3138.38,123,661.75
4,07-Jan,3162.16,124.28,623.9
5,08-Jan,3182.7,137.27,677.92
6,11-Jan,3114.21,152.51,734.09
7,12-Jan,3120.83,142.65,775.22
8,13-Jan,3165.89,148.96,1208.59
9,14-Jan,3127.47,164.77,1095
10,15-Jan,3104.25,134.99,872.79
11,19-Jan,3120.76,125.12,686.44
12,20-Jan,3263.38,125.06,605.12
13,21-Jan,3306.99,139.96,678.9
14,22-Jan,3292.23,145.52,709.67
15,25-Jan,3294,153.65,732.39
16,26-Jan,3326.13,150.02,1172
17,27-Jan,3232.58,163.76,1084.6
18,28-Jan,3237.62,133.94,854.69
19,29-Jan,3206.2,122.06,653.2
20,01-Feb,3342.88,132.54,684.9
21,02-Feb,3380,123.54,572.84
22,03-Feb,3312.53,147.36,709.74
23,04-Feb,3331,154.3,733.57
24,05-Feb,3352.15,151.49,1213.86
25,08-Feb,3322.94,161.84,1014.97
26,09-Feb,3305,129.41,729.77
27,10-Feb,3286.58,137.39,849.99
28,11-Feb,3262.13,120.13,621.44
29,12-Feb,3277.71,127.85,673.6
30,16-Feb,3268.95,125.89,599.05
31,17-Feb,3308.64,146.95,710.92
32,18-Feb,3328.23,139.14,781.53
33,19-Feb,3249.9,150.96,1229.91
34,22-Feb,3180.74,131.01,735.11
35,23-Feb,3194.5,136.76,852.23
36,24-Feb,3159.53,121.42,597.95
37,25-Feb,3057.16,125.9,691.05
38,26-Feb,3092.93,128.1,670.94
39,01-Mar,3146.14,147.06,714.63
40,02-Mar,3094.53,141.11,780.59
41,03-Mar,3005,151.28,1222.09
42,04-Mar,2977.57,126.6,755.98
43,05-Mar,3000.46,126.21,691.62
44,08-Mar,2951.95,129.74,663.54
45,09-Mar,3062.85,142.02,659.58
46,10-Mar,3057.64,146.14,699.1
47,11-Mar,3113.59,142,782.75
48,12-Mar,3089.49,165.32,1009.01
49,15-Mar,3081.68,130.92,816.04
50,16-Mar,3091.86,127.9,670.97
51,17-Mar,3135.73,130.21,672.37
52,18-Mar,3027.99,125.9,605.13
53,19-Mar,3074.96,144.57,644.65
54,22-Mar,3110.87,156.69,752.92
55,23-Mar,3137.5,143.29,793.61
56,24-Mar,3087.07,171.18,1051.75
57,25-Mar,3046.26,132.05,880.02
58,26-Mar,3052.03,136.91,863.42
59,29-Mar,3075.73,116.36,563
60,30-Mar,3055.29,130.36,683.8
61,31-Mar,3094.08,126.74,603.59
62,01-Apr,3161,143.24,652.81
63,05-Apr,3226.73,155.11,753.87
64,06-Apr,3223.82,142.9,785.49
65,07-Apr,3279.39,150.44,1162.94
66,08-Apr,3299.3,175.08,1068.96
67,09-Apr,3372.2,136.01,849.46
68,12-Apr,3379.39,"121,085",673.58
69,13-Apr,3400,"132,995",677.02
70,14-Apr,3333,127.13,598.78
71,15-Apr,3379.09,145.11,656.95
72,16-Apr,3399.44,146.09,713.76
73,19-Apr,3372.01,154.07,754.86
74,20-Apr,3334.69,150.81,1023.5
75,21-Apr,3362.02,174.56,1003.8
76,22-Apr,3309.04,135.39,804.82
77,23-Apr,3340.88,119.98,668.06
78,26-Apr,3409,126.85,629.04
79,27-Apr,3417.43,126.11,610.12
80,28-Apr,3458.5,145.6,709.99
81,29-Apr,3471.31,148.97,736.27
82,30-Apr,3467.42,147.92,1067.95
83,03-May,3386.49,179.45,1017.03
84,04-May,3311.87,128.98,811.19
85,05-May,3270.54,135.13,811.66
86,06-May,3306.37,121.96,699.6
87,07-May,3291.61,125.91,617.2
88,10-May,3190.49,127.35,609.89
89,11-May,3223.91,145.86,707.82
90,12-May,3151.94,142.81,791.94
91,13-May,3161.47,147.87,1063.51
92,14-May,3222.9,128.8,849.44
93,17-May,3270.39,135.37,816.12
94,18-May,3232.28,121.03,693.73
95,19-May,3231.8,131.24,701.98
96,20-May,3247.68,122.77,589.89
97,21-May,3203.08,144.5,685.7
98,24-May,3244.99,148.89,722.25
99,25-May,3259.05,141.51,805.72
100,26-May,3265.16,149.99,1033.42
101,27-May,3230.11,130.89,854.41
102,28-May,3223.07,128.91,845
103,01-Jun,3218.65,127.14,826.16
104,02-Jun,3233.99,127.83,844.55
105,03-Jun,3187.01,132.03,850.45
106,04-Jun,3206.22,136.87,844.99
107,07-Jun,3198.01,139.07,846.64
108,08-Jun,3264.11,142.92,880.8
109,09-Jun,3281.15,143.16,883.09
110,10-Jun,3349.65,142.06,864.16
111,11-Jun,3346.83,137.09,835.43
112,14-Jun,3383.87,131.96,793.53
113,15-Jun,3383.13,133.19,796.22
114,16-Jun,3415.25,130.84,798.15
115,17-Jun,3489.24,129.71,787.38
116,18-Jun,3486.9,129.87,781.3
117,21-Jun,3453.96,126,714.5
118,22-Jun,3505.44,125.86,698.84
119,23-Jun,3503.82,125.35,742.02
120,24-Jun,3449.08,120.99,682.22
121,25-Jun,3401.46,121.26,675.5
122,28-Jun,3443.89,123.99,707.94
123,29-Jun,3448.14,125.57,676.88
124,30-Jun,3440.16,124.76,701.81
125,01-Jul,3432.97,120.53,653.16
126,02-Jul,3510.98,119.99,654.87
127,06-Jul,3675.74,123.39,670
128,07-Jul,3696.58,122.54,662.16
129,08-Jul,3731.41,120.09,630.27
130,09-Jul,3719.34,120.59,640.39
131,12-Jul,3718.55,121.21,618.71
132,13-Jul,3677.36,121.39,611.29
133,14-Jul,3681.68,119.9,635.62
134,15-Jul,3631.2,122.15,667.93
135,16-Jul,3573.63,134.43,762.32
136,19-Jul,3549.59,132.03,732.23
137,20-Jul,3573.19,134.5,738.85
138,21-Jul,3585.2,134.16,739.78
139,22-Jul,3638.03,134.84,714.63
140,23-Jul,3656.64,133.11,718.99
141,26-Jul,3699.82,133.5,744.12
142,27-Jul,3626.39,131.94,719.69
143,28-Jul,3630.32,134.32,729.4
144,29-Jul,3599.92,134.72,738.2
145,30-Jul,3327.59,134.39,704.74
146,02-Aug,3331.48,133.58,694.4
147,03-Aug,3366.24,133.48,677
148,04-Aug,3354.72,131.46,709.44
149,05-Aug,3375.99,124.97,571.69
150,06-Aug,3344.94,127.45,589.74
151,09-Aug,3341.87,126.27,576.83
152,10-Aug,3320.68,124.85,577.87
153,11-Aug,3292.11,124.69,563.46
154,12-Aug,3303.5,127.31,586.78
155,13-Aug,3293.97,125.43,580.88
156,16-Aug,3298.99,127.1,606.44
157,17-Aug,3241.96,126.9,604.69
158,18-Aug,3201.22,126.85,619.13
159,19-Aug,3187.75,125.28,630.85
160,20-Aug,3199.95,124.61,625.22
161,23-Aug,3265.87,130.48,617.69
162,24-Aug,3305.78,129.64,599.36
163,25-Aug,3299.18,130.15,604.87
164,26-Aug,3316,131.79,616.6
165,27-Aug,3349.63,130.46,623.31
166,30-Aug,3421.57,132.3,620.83
167,31-Aug,3470.79,133.98,623.71
168,01-Sep,3479,133.7,656.57
169,02-Sep,3463.12,133.41,679.82
170,03-Sep,3478.05,133.11,671.87
171,07-Sep,3509.29,134.78,688.72
172,08-Sep,3525.5,136.33,680.76
173,09-Sep,3484.16,136.96,679.7
174,10-Sep,3469.15,145.64,668.54
175,13-Sep,3457.17,149.15,653.38
176,14-Sep,3450,148.48,650.6
177,15-Sep,3475.79,146.39,644.22
178,16-Sep,3488.24,142.45,646.22
179,17-Sep,3462.52,146.15,660.5
180,20-Sep,3355.73,145.4,655.29
181,21-Sep,3343.63,146.8,649.26
182,22-Sep,3380.05,148.56,643.38
183,23-Sep,3416,148.99,657.62
184,24-Sep,3425.52,146.77,644.78
185,27-Sep,3405.8,144.98,646.98
186,28-Sep,3315.96,145.64,677.35
187,29-Sep,3301.12,145.86,687.2
188,30-Sep,3285.04,149.1,717.17
189,01-Oct,3283.26,151.12,686.17
190,04-Oct,3189.78,150.19,665.71
191,05-Oct,3221,146.36,688.99
192,06-Oct,3262.01,146.7,673.47
193,07-Oct,3302.43,148.19,680.26
194,08-Oct,3288.62,149.71,706.3
195,11-Oct,3246.3,149.62,708.49
196,12-Oct,3247.33,148.36,711.2
197,13-Oct,3284.28,147.54,701.16
198,14-Oct,3299.86,148.6,711.92
199,15-Oct,3409.02,153.12,730.91
200,18-Oct,3446.74,151.83,735.72
201,19-Oct,3444.15,149.55,743
202,20-Oct,3415.06,148.12,744.49
203,21-Oct,3435.01,149.03,755.83
204,22-Oct,3335.55,148.79,756.99
205,25-Oct,3320.37,146.06,759.49
206,26-Oct,3376.07,142.94,730.17
207,27-Oct,3392.49,143.43,739.38
208,28-Oct,3446.57,145.85,751.94
209,29-Oct,3372.43,146.83,753.64
210,01-Nov,3318.11,146.92,774.39
211,02-Nov,3312.75,145.37,791.36
212,03-Nov,3384,141.91,777.56
213,04-Nov,3477,142.83,781.31
214,05-Nov,3518.99,141.5,775.48
215,08-Nov,3488.98,140.91,811.08
216,09-Nov,3576.23,143.76,818.32
217,10-Nov,3482.05,144.84,843.03
