year,month,series,cpi
1996,Jan,CPI - All Items,67.8
1996,Feb,CPI - All Items,68.1
1996,Mar,CPI - All Items,68.4
1996,Apr,CPI - All Items,68.7
1996,May,CPI - All Items,68.9
1996,Jun,CPI - All Items,69
1996,Jul,CPI - All Items,68.6
1996,Aug,CPI - All Items,68.9
1996,Sep,CPI - All Items,69.3
1996,Oct,CPI - All Items,69.3
1996,Nov,CPI - All Items,69.3
1996,Dec,CPI - All Items,69.5
1997,Jan,CPI - All Items,69.2
1997,Feb,CPI - All Items,69.4
1997,Mar,CPI - All Items,69.5
1997,Apr,CPI - All Items,69.8
1997,May,CPI - All Items,70
1997,Jun,CPI - All Items,70.2
1997,Jul,CPI - All Items,69.9
1997,Aug,CPI - All Items,70.3
1997,Sep,CPI - All Items,70.6
1997,Oct,CPI - All Items,70.6
1997,Nov,CPI - All Items,70.6
1997,Dec,CPI - All Items,70.7
1998,Jan,CPI - All Items,70.3
1998,Feb,CPI - All Items,70.5
1998,Mar,CPI - All Items,70.7
1998,Apr,CPI - All Items,71.1
1998,May,CPI - All Items,71.4
1998,Jun,CPI - All Items,71.3
1998,Jul,CPI - All Items,71
1998,Aug,CPI - All Items,71.2
1998,Sep,CPI - All Items,71.5
1998,Oct,CPI - All Items,71.5
1998,Nov,CPI - All Items,71.6
1998,Dec,CPI - All Items,71.8
1999,Jan,CPI - All Items,71.4
1999,Feb,CPI - All Items,71.5
1999,Mar,CPI - All Items,71.9
1999,Apr,CPI - All Items,72.2
1999,May,CPI - All Items,72.4
1999,Jun,CPI - All Items,72.3
1999,Jul,CPI - All Items,71.9
1999,Aug,CPI - All Items,72.1
1999,Sep,CPI - All Items,72.4
1999,Oct,CPI - All Items,72.3
1999,Nov,CPI - All Items,72.4
1999,Dec,CPI - All Items,72.6
2000,Jan,CPI - All Items,71.9
2000,Feb,CPI - All Items,72.2
2000,Mar,CPI - All Items,72.3
2000,Apr,CPI - All Items,72.6
2000,May,CPI - All Items,72.8
2000,Jun,CPI - All Items,72.9
2000,Jul,CPI - All Items,72.5
2000,Aug,CPI - All Items,72.5
2000,Sep,CPI - All Items,73.1
2000,Oct,CPI - All Items,73.1
2000,Nov,CPI - All Items,73.2
2000,Dec,CPI - All Items,73.2
2001,Jan,CPI - All Items,72.6
2001,Feb,CPI - All Items,72.7
2001,Mar,CPI - All Items,73
2001,Apr,CPI - All Items,73.4
2001,May,CPI - All Items,74
2001,Jun,CPI - All Items,74.1
2001,Jul,CPI - All Items,73.6
2001,Aug,CPI - All Items,73.9
2001,Sep,CPI - All Items,74.1
2001,Oct,CPI - All Items,73.9
2001,Nov,CPI - All Items,73.8
2001,Dec,CPI - All Items,74
2002,Jan,CPI - All Items,73.7
2002,Feb,CPI - All Items,73.8
2002,Mar,CPI - All Items,74.1
2002,Apr,CPI - All Items,74.4
2002,May,CPI - All Items,74.6
2002,Jun,CPI - All Items,74.6
2002,Jul,CPI - All Items,74.4
2002,Aug,CPI - All Items,74.6
2002,Sep,CPI - All Items,74.8
2002,Oct,CPI - All Items,74.9
2002,Nov,CPI - All Items,74.9
2002,Dec,CPI - All Items,75.2
2003,Jan,CPI - All Items,74.7
2003,Feb,CPI - All Items,75
2003,Mar,CPI - All Items,75.3
2003,Apr,CPI - All Items,75.5
2003,May,CPI - All Items,75.5
2003,Jun,CPI - All Items,75.4
2003,Jul,CPI - All Items,75.3
2003,Aug,CPI - All Items,75.6
2003,Sep,CPI - All Items,75.9
2003,Oct,CPI - All Items,76
2003,Nov,CPI - All Items,75.9
2003,Dec,CPI - All Items,76.2
2004,Jan,CPI - All Items,75.8
2004,Feb,CPI - All Items,76
2004,Mar,CPI - All Items,76.1
2004,Apr,CPI - All Items,76.4
2004,May,CPI - All Items,76.6
2004,Jun,CPI - All Items,76.6
2004,Jul,CPI - All Items,76.4
2004,Aug,CPI - All Items,76.6
2004,Sep,CPI - All Items,76.7
2004,Oct,CPI - All Items,76.9
2004,Nov,CPI - All Items,77
2004,Dec,CPI - All Items,77.4
2005,Jan,CPI - All Items,77
2005,Feb,CPI - All Items,77.2
2005,Mar,CPI - All Items,77.5
2005,Apr,CPI - All Items,77.8
2005,May,CPI - All Items,78.1
2005,Jun,CPI - All Items,78.1
2005,Jul,CPI - All Items,78.2
2005,Aug,CPI - All Items,78.4
2005,Sep,CPI - All Items,78.6
2005,Oct,CPI - All Items,78.7
2005,Nov,CPI - All Items,78.7
2005,Dec,CPI - All Items,78.9
2006,Jan,CPI - All Items,78.5
2006,Feb,CPI - All Items,78.8
2006,Mar,CPI - All Items,78.9
2006,Apr,CPI - All Items,79.4
2006,May,CPI - All Items,79.9
2006,Jun,CPI - All Items,80.1
2006,Jul,CPI - All Items,80
2006,Aug,CPI - All Items,80.4
2006,Sep,CPI - All Items,80.5
2006,Oct,CPI - All Items,80.6
2006,Nov,CPI - All Items,80.8
2006,Dec,CPI - All Items,81.3
2007,Jan,CPI - All Items,80.6
2007,Feb,CPI - All Items,81
2007,Mar,CPI - All Items,81.4
2007,Apr,CPI - All Items,81.6
2007,May,CPI - All Items,81.8
2007,Jun,CPI - All Items,82
2007,Jul,CPI - All Items,81.5
2007,Aug,CPI - All Items,81.8
2007,Sep,CPI - All Items,81.9
2007,Oct,CPI - All Items,82.3
2007,Nov,CPI - All Items,82.5
2007,Dec,CPI - All Items,83
2008,Jan,CPI - All Items,82.4
2008,Feb,CPI - All Items,83
2008,Mar,CPI - All Items,83.4
2008,Apr,CPI - All Items,84
2008,May,CPI - All Items,84.6
2008,Jun,CPI - All Items,85.2
2008,Jul,CPI - All Items,85.1
2008,Aug,CPI - All Items,85.7
2008,Sep,CPI - All Items,86.1
2008,Oct,CPI - All Items,85.9
2008,Nov,CPI - All Items,85.8
2008,Dec,CPI - All Items,85.5
2009,Jan,CPI - All Items,84.9
2009,Feb,CPI - All Items,85.6
2009,Mar,CPI - All Items,85.8
2009,Apr,CPI - All Items,86
2009,May,CPI - All Items,86.4
2009,Jun,CPI - All Items,86.7
2009,Jul,CPI - All Items,86.7
2009,Aug,CPI - All Items,87
2009,Sep,CPI - All Items,87.1
2009,Oct,CPI - All Items,87.2
2009,Nov,CPI - All Items,87.5
2009,Dec,CPI - All Items,88
2010,Jan,CPI - All Items,87.8
2010,Feb,CPI - All Items,88.2
2010,Mar,CPI - All Items,88.7
2010,Apr,CPI - All Items,89.2
2010,May,CPI - All Items,89.4
2010,Jun,CPI - All Items,89.5
2010,Jul,CPI - All Items,89.3
2010,Aug,CPI - All Items,89.8
2010,Sep,CPI - All Items,89.8
2010,Oct,CPI - All Items,90
2010,Nov,CPI - All Items,90.3
