Month,Symbol,Close,Volume,Date,
01/2020,MMM,180,3601700,02/01/2020,
02/2020,MMM,156.59,3925500,03/02/2020,
03/2020,MMM,153.02,8026300,02/03/2020,
04/2020,MMM,133.14,3777600,01/04/2020,
05/2020,MMM,148.6,2926400,01/05/2020,
06/2020,MMM,155.58,2083400,01/06/2020,
07/2020,MMM,155.43,1625600,01/07/2020,
08/2020,MMM,150.41,2264900,03/08/2020,
09/2020,MMM,164.8,2901100,01/09/2020,
10/2020,MMM,158.79,1989100,01/10/2020,
11/2020,MMM,162.94,2116600,02/11/2020,
12/2020,MMM,170.52,3859600,01/12/2020,
01/2020,ABT,86.95,4969000,02/01/2020,
02/2020,ABT,87.06,4675900,03/02/2020,
03/2020,ABT,81.61,11483600,02/03/2020,
04/2020,ABT,76.57,12208300,01/04/2020,
05/2020,ABT,89.85,6839800,01/05/2020,
06/2020,ABT,93.01,5451600,01/06/2020,
07/2020,ABT,91.64,3389600,01/07/2020,
08/2020,ABT,100.68,3670900,03/08/2020,
09/2020,ABT,106.55,7963100,01/09/2020,
10/2020,ABT,108.64,7242100,01/10/2020,
11/2020,ABT,107.48,5907100,02/11/2020,
12/2020,ABT,108.49,4265200,01/12/2020,
01/2020,ABBV,89.55,5639200,02/01/2020,
02/2020,ABBV,82.3,10143700,03/02/2020,
03/2020,ABBV,88.69,12171100,02/03/2020,
04/2020,ABBV,73.42,12948000,01/04/2020,
05/2020,ABBV,82.84,12705300,01/05/2020,
06/2020,ABBV,90.7,8486500,01/06/2020,
07/2020,ABBV,99.14,6522900,01/07/2020,
08/2020,ABBV,95.94,6919000,03/08/2020,
09/2020,ABBV,92.24,15783600,01/09/2020,
10/2020,ABBV,87.14,8777300,01/10/2020,
11/2020,ABBV,88.25,10781400,02/11/2020,
12/2020,ABBV,104.04,7623500,01/12/2020,
01/2020,ABMD,168.81,742600,02/01/2020,
02/2020,ABMD,185.95,508900,03/02/2020,
03/2020,ABMD,155.1,743600,02/03/2020,
04/2020,ABMD,144.48,765800,01/04/2020,
05/2020,ABMD,183.49,835600,01/05/2020,
06/2020,ABMD,226.14,356800,01/06/2020,
07/2020,ABMD,255.22,655600,01/07/2020,
08/2020,ABMD,308.35,372600,03/08/2020,
09/2020,ABMD,307.33,320300,01/09/2020,
10/2020,ABMD,260.45,971100,01/10/2020,
11/2020,ABMD,254.85,443800,02/11/2020,
12/2020,ABMD,268.21,241700,01/12/2020,
01/2020,ACN,210.15,2431100,02/01/2020,
02/2020,ACN,207.8,2345700,03/02/2020,
03/2020,ACN,189.55,4317900,02/03/2020,
04/2020,ACN,154.68,2973100,01/04/2020,
05/2020,ACN,180.09,2064200,01/05/2020,
06/2020,ACN,203.38,1530800,01/06/2020,
07/2020,ACN,214.59,2124700,01/07/2020,
08/2020,ACN,227.18,1631700,03/08/2020,
09/2020,ACN,240.02,1914500,01/09/2020,
10/2020,ACN,225.18,1928800,01/10/2020,
11/2020,ACN,220.19,2087200,02/11/2020,
12/2020,ACN,252.27,2078600,01/12/2020,
01/2020,ATVI,58.65,5189400,02/01/2020,
02/2020,ATVI,58.21,4825200,03/02/2020,
03/2020,ATVI,60.59,9483100,02/03/2020,
04/2020,ATVI,57.5,7315500,01/04/2020,
05/2020,ATVI,64.72,5103500,01/05/2020,
06/2020,ATVI,72.99,4930700,01/06/2020,
07/2020,ATVI,78.03,10187400,01/07/2020,
08/2020,ATVI,84.79,8589600,03/08/2020,
09/2020,ATVI,83.33,5927400,01/09/2020,
10/2020,ATVI,82.68,6035900,01/10/2020,
11/2020,ATVI,76.4,7306600,02/11/2020,
12/2020,ATVI,79.93,5794200,01/12/2020,
01/2020,ADBE,334.43,1990100,02/01/2020,
02/2020,ADBE,358,2693800,03/02/2020,
03/2020,ADBE,360.28,5398100,02/03/2020,
04/2020,ADBE,301.21,3903000,01/04/2020,
05/2020,ADBE,343.84,2578600,01/05/2020,
06/2020,ADBE,389.68,2034100,01/06/2020,
07/2020,ADBE,439.81,2581700,01/07/2020,
08/2020,ADBE,447.97,2075200,03/08/2020,
09/2020,ADBE,527.95,2404000,01/09/2020,
10/2020,ADBE,499.51,2264600,01/10/2020,
11/2020,ADBE,444.94,2479000,02/11/2020,
12/2020,ADBE,479.15,2531100,01/12/2020,
01/2020,AMD,49.1,80331100,02/01/2020,
02/2020,AMD,48.02,46983500,03/02/2020,
03/2020,AMD,47.46,1.02E+08,02/03/2020,
04/2020,AMD,43.66,92083100,01/04/2020,
05/2020,AMD,49.88,69562700,01/05/2020,
06/2020,AMD,53.63,36864400,01/06/2020,
07/2020,AMD,52.58,32370900,01/07/2020,
08/2020,AMD,77.67,42628800,03/08/2020,
09/2020,AMD,92.18,55825600,01/09/2020,
10/2020,AMD,84.86,52177100,01/10/2020,
11/2020,AMD,74.7,45760700,02/11/2020,
12/2020,AMD,92.63,58583600,01/12/2020,
01/2020,AAP,159.41,944900,02/01/2020,
02/2020,AAP,132.65,1014200,03/02/2020,
03/2020,AAP,132.99,1403000,02/03/2020,
04/2020,AAP,89.17,1163400,01/04/2020,
05/2020,AAP,116.59,501700,01/05/2020,
06/2020,AAP,139.79,841000,01/06/2020,
07/2020,AAP,141.95,709500,01/07/2020,
08/2020,AAP,152.55,498300,03/08/2020,
09/2020,AAP,156.39,634800,01/09/2020,
10/2020,AAP,154.85,649700,01/10/2020,
11/2020,AAP,151.38,1010900,02/11/2020,
12/2020,AAP,152.61,1258300,01/12/2020,
01/2020,AES,20.03,3069900,02/01/2020,
02/2020,AES,20.31,3843300,03/02/2020,
03/2020,AES,18.22,8987900,02/03/2020,
